Transaction_ID,Transaction_Date,Customer_ID,Product_Name,Quantity,Price,Payment_Method,Transaction_Status,High Value Transaction,Repeating Customer,Customer Total Spend,Average Order Value,Purchase Frequency,LastPurchase,Purchase Recency,Category Diversity,High/Low Value Customers,Most Revenue Segment,Repeating Behavior Pattern
T0001,2024-08-02,C2205,Headphones,5.0,420.21,pay pal,Unknown,0,1,6214.263910611287,414.28426070741915,15,2024-08-02,183.0,6,High Value Customer,31818745.053736106,524.8744898897567
T0002,2020-02-10,C3156,Coffee ,469.0,445.3420252539559,creditcard,Pending,0,1,9328.456788463542,666.3183420331101,14,2023-08-21,530.0,7,High Value Customer,31818745.053736106,524.8744898897567
T0003,,C2919,Tablet,4.0,810.9930123946459,credit card,completed,1,1,6392.798162719491,710.3109069688323,9,2024-11-27,66.0,6,High Value Customer,31818745.053736106,524.8744898897567
T0004,2020-08-17,C3009,Tab,7.0,868.6083413217348,PayPal,Pending,1,1,7473.440003267778,498.22933355118516,15,2023-10-28,462.0,6,High Value Customer,31818745.053736106,524.8744898897567
T0005,,C3488,Coffee Machine,10.0,763.1224490039416,PayPal,completed,1,1,7393.511122901352,616.125926908446,12,2024-11-27,66.0,5,High Value Customer,31818745.053736106,524.8744898897567
T0008,,C4736,Headphones,669.0,86.92126929493884,Cash,Unknown,0,1,7630.547777050248,423.91932094723603,18,2024-03-18,320.0,6,High Value Customer,31818745.053736106,524.8744898897567
T0009,,C3387,Tablet,10.0,461.70198437439694,PayPal,Unknown,0,1,9057.509501246574,503.1949722914763,18,2024-07-08,208.0,8,High Value Customer,31818745.053736106,524.8744898897567
T0010,,C2846,Laptop,1.0,404.8907066405689,creditcard,Pending,0,1,5480.498627810878,456.70821898423986,12,2024-06-14,232.0,4,High Value Customer,31818745.053736106,524.8744898897567
T0011,,C1004,Laptop,10.0,600.8393093751704,PayPal ,complete,1,1,7170.1954376577905,597.5162864714825,12,2023-12-12,417.0,6,High Value Customer,31818745.053736106,524.8744898897567
T0014,2020-06-19,C2992,Coffee Machine,696.0,905.5147299335418,creditcard,Failed,1,1,7333.66922089792,458.35432630612,16,2025-01-18,14.0,5,High Value Customer,31818745.053736106,524.8744898897567
T0015,,C3879,Headphones,2.0,523.8427581553709,credit card,Pending,1,1,8386.857985292656,599.0612846637612,14,,,5,High Value Customer,31818745.053736106,524.8744898897567
T0017,2020-07-07,C3776,Smartphone,236.0,94.55726526729006,credit card,Pending,0,1,5541.378765131641,503.76170592105825,11,2022-07-30,917.0,6,High Value Customer,31818745.053736106,524.8744898897567
T0018,,C847,Coffee Ma,7.0,108.43782406112234,credit card,complete,0,1,4395.893831856452,488.4326479840503,9,2022-10-28,827.0,7,High Value Customer,31818745.053736106,524.8744898897567
T0021,,C1137,Coffee Machine,856.0,488.8626491104135,Credit Card,Failed,0,1,9293.857801749566,619.5905201166377,15,2024-08-18,167.0,5,High Value Customer,31818745.053736106,524.8744898897567
T0023,,C4877,Tablet,538.0,733.8292284642129,PayPal ,complete,1,1,7750.268099650958,516.6845399767305,15,2022-10-07,848.0,5,High Value Customer,31818745.053736106,524.8744898897567
T0025,2022-11-18,C4985,Tablet,114.0,276.93632041675164,PayPal,Unknown,0,1,3802.3770257024694,422.48633618916324,9,2023-10-22,468.0,5,High Value Customer,31818745.053736106,524.8744898897567
T73466,,C2702,Coffee Machine,5.0,555.6133483579025,creditcard,complete,1,1,4962.996379182076,496.2996379182076,10,2024-06-12,234.0,7,High Value Customer,31818745.053736106,524.8744898897567
T0028,,C3025,Smar,7.0,797.34,PayPal,complete,1,1,12215.60996701453,610.7804983507265,20,2024-02-18,349.0,7,High Value Customer,31818745.053736106,524.8744898897567
T0029,,C1345,Smartphone,5.0,295.7651514883837,PayPal,Pending,0,1,7318.589152452749,609.8824293710624,12,2024-06-26,220.0,5,High Value Customer,31818745.053736106,524.8744898897567
T0031,2024-07-17,C3672,Tablet,5.0,787.9940762988269,Credit Card,completed,1,1,4836.425566622211,537.380618513579,9,2024-07-17,199.0,6,High Value Customer,31818745.053736106,524.8744898897567
T0033,,C1844,Coffee Machine,3.0,546.7808345069353,PayPal,Failed,1,1,3381.9348389460697,483.1335484208671,7,2023-12-12,417.0,4,High Value Customer,31818745.053736106,524.8744898897567
T0034,,C1406,Coffee Machine,3.0,120.68099580920124,creditcard,complete,0,1,4301.550059278633,537.6937574098291,8,2024-02-25,342.0,3,High Value Customer,31818745.053736106,524.8744898897567
T0035,2022-07-25,C2579,Coffee Machine,485.0,970.28,credit card,Completed,1,1,10048.384493371645,528.8623417564023,19,2023-11-07,452.0,4,High Value Customer,31818745.053736106,524.8744898897567
T0036,,C292,Laptop,2.0,596.4257637659894,pay pal,completed,1,1,5381.158018139201,538.1158018139201,10,2023-06-27,585.0,6,High Value Customer,31818745.053736106,524.8744898897567
T0037,,C2492,Smartphone,10.0,711.71,pay pal,Pending,1,1,3517.9607961332786,586.3267993555464,6,,,3,High Value Customer,31818745.053736106,524.8744898897567
T0045,,C3393,Smartphone,5.0,653.3867399963707,creditcard,Pending,1,1,6012.59471234786,501.04955936232165,12,2024-04-29,278.0,4,High Value Customer,31818745.053736106,524.8744898897567
T0046,,C2797,Coffee Machine,825.0,788.7705027101282,PayPal,Completed,1,1,6695.029275043527,478.21637678882337,14,2022-11-18,806.0,8,High Value Customer,31818745.053736106,524.8744898897567
T0048,,C987,Headphones,5.0,527.0952322435783,Credit Card,Pending,1,1,3922.412300393754,560.3446143419649,7,2024-09-29,125.0,5,High Value Customer,31818745.053736106,524.8744898897567
T0050,2021-04-23,C4480,Tablet,6.0,969.72,PayPal ,Completed,1,1,3810.602411620132,346.4184010563756,11,2024-12-29,34.0,5,High Value Customer,31818745.053736106,524.8744898897567
T0051,,C591,Coffee M,272.0,253.7301092365127,Cash,Unknown,0,1,4994.364801606587,554.9294224007319,9,2024-04-29,278.0,7,High Value Customer,31818745.053736106,524.8744898897567
T0052,2022-12-20,C4029,Headphones,839.0,756.3340765354607,PayPal ,Pending,1,1,8152.7556486866615,543.5170432457775,15,2022-12-20,774.0,5,High Value Customer,31818745.053736106,524.8744898897567
T0053,2022-07-22,C1077,Laptop,559.0,154.18505403344284,credit card,Failed,0,1,11469.18169159181,521.3264405269005,22,2024-09-13,141.0,9,High Value Customer,31818745.053736106,524.8744898897567
T0055,2024-04-17,C2474,Coffee Machine,867.0,130.23186429200612,creditcard,Pending,0,1,6690.902448235804,557.5752040196503,12,2024-11-25,68.0,6,High Value Customer,31818745.053736106,524.8744898897567
T0056,,C4020,Coffee Machine,153.0,500.9165574378977,PayPal,completed,1,1,8658.566302471161,360.77359593629836,24,2023-10-16,474.0,7,High Value Customer,31818745.053736106,524.8744898897567
T0058,,C3286,Smartphone,469.0,424.31579152678114,pay pal,completed,0,1,5246.472196796967,476.9520178906334,11,2023-02-23,709.0,6,High Value Customer,31818745.053736106,524.8744898897567
T0059,,C2809,Tablet,4.0,329.6249100867068,credit card,Unknown,0,1,4724.282368825456,472.42823688254555,10,2023-02-09,723.0,4,High Value Customer,31818745.053736106,524.8744898897567
T0060,,C2809,Headphones,9.0,774.7400993737688,pay pal,complete,1,1,4724.282368825456,472.42823688254555,10,2023-02-09,723.0,4,High Value Customer,31818745.053736106,524.8744898897567
T0061,,C3123,Headphones,6.0,692.6956884654846,creditcard,completed,1,1,6818.123977329419,568.1769981107849,12,2024-02-11,356.0,6,High Value Customer,31818745.053736106,524.8744898897567
T0065,,C4884,Smartp,6.0,261.1,PayPal ,Pending,0,1,4545.7872447306445,413.25338588460403,11,2024-04-02,305.0,6,High Value Customer,31818745.053736106,524.8744898897567
T0066,,C4996,Laptop,399.0,416.86425090767176,PayPal,Pending,0,1,6658.862995714769,554.9052496428974,12,2021-06-12,1330.0,5,High Value Customer,31818745.053736106,524.8744898897567
T0068,,C4424,Tablet,222.0,893.0581296167652,PayPal,Failed,1,1,9850.55758365717,656.703838910478,15,2023-08-05,546.0,6,High Value Customer,31818745.053736106,524.8744898897567
T0069,2021-03-03,C1757,Headphones,5.0,750.9838518199657,credit card,complete,1,1,10694.105974809929,594.1169986005516,18,2025-01-06,26.0,7,High Value Customer,31818745.053736106,524.8744898897567
T0070,,C4445,Coffee Machine,787.0,197.82671183761192,PayPal ,complete,0,1,8184.6103686105425,545.6406912407028,15,2024-06-19,227.0,6,High Value Customer,31818745.053736106,524.8744898897567
T0075,,C3892,Laptop,6.0,310.0117870605701,pay pal,Pending,0,1,8589.6474059971,477.20263366650556,18,2024-07-15,201.0,9,High Value Customer,31818745.053736106,524.8744898897567
T0079,,C4545,Laptop,10.0,523.9728550305827,PayPal,Pending,1,1,6604.753180612865,471.76808432949036,14,2021-11-17,1172.0,6,High Value Customer,31818745.053736106,524.8744898897567
T0080,,C3707,Coffee Machine,4.0,933.723570095747,pay pal,Unknown,1,1,12124.748361144631,551.1249255065742,22,2024-06-11,235.0,7,High Value Customer,31818745.053736106,524.8744898897567
T0081,2023-02-28,C3687,Smartphone,8.0,845.0306396233873,PayPal,Completed,1,1,7279.3690787726655,454.9605674232916,16,2024-07-31,185.0,6,High Value Customer,31818745.053736106,524.8744898897567
