Customer_ID,Transaction_ID,High Value Transaction,Repeating Customer,Customer Total Spend,Average Order Value,Purchase Frequency,Purchase Recency,Category Diversity,High/Low Value Customers,Most Revenue Segment,Repeating Behavior Pattern
C2205,T0001,0,1,6214.263910611287,414.28426070741915,15,183.0,6,High Value Customer,31818745.053736106,524.8744898897567
C3156,T0002,0,1,9328.456788463542,666.3183420331101,14,530.0,7,High Value Customer,31818745.053736106,524.8744898897567
C2919,T0003,1,1,6392.798162719491,710.3109069688323,9,66.0,6,High Value Customer,31818745.053736106,524.8744898897567
C3009,T0004,1,1,7473.440003267778,498.22933355118516,15,462.0,6,High Value Customer,31818745.053736106,524.8744898897567
C3488,T0005,1,1,7393.511122901352,616.125926908446,12,66.0,5,High Value Customer,31818745.053736106,524.8744898897567
C4736,T0008,0,1,7630.547777050248,423.91932094723603,18,320.0,6,High Value Customer,31818745.053736106,524.8744898897567
C3387,T0009,0,1,9057.509501246574,503.1949722914763,18,208.0,8,High Value Customer,31818745.053736106,524.8744898897567
C2846,T0010,0,1,5480.498627810878,456.70821898423986,12,232.0,4,High Value Customer,31818745.053736106,524.8744898897567
C1004,T0011,1,1,7170.1954376577905,597.5162864714825,12,417.0,6,High Value Customer,31818745.053736106,524.8744898897567
C2992,T0014,1,1,7333.66922089792,458.35432630612,16,14.0,5,High Value Customer,31818745.053736106,524.8744898897567
C3879,T0015,1,1,8386.857985292656,599.0612846637612,14,,5,High Value Customer,31818745.053736106,524.8744898897567
C3776,T0017,0,1,5541.378765131641,503.76170592105825,11,917.0,6,High Value Customer,31818745.053736106,524.8744898897567
C847,T0018,0,1,4395.893831856452,488.4326479840503,9,827.0,7,High Value Customer,31818745.053736106,524.8744898897567
C1137,T0021,0,1,9293.857801749566,619.5905201166377,15,167.0,5,High Value Customer,31818745.053736106,524.8744898897567
C4877,T0023,1,1,7750.268099650958,516.6845399767305,15,848.0,5,High Value Customer,31818745.053736106,524.8744898897567
C4985,T0025,0,1,3802.3770257024694,422.48633618916324,9,468.0,5,High Value Customer,31818745.053736106,524.8744898897567
C2702,T73466,1,1,4962.996379182076,496.2996379182076,10,234.0,7,High Value Customer,31818745.053736106,524.8744898897567
C3025,T0028,1,1,12215.60996701453,610.7804983507265,20,349.0,7,High Value Customer,31818745.053736106,524.8744898897567
C1345,T0029,0,1,7318.589152452749,609.8824293710624,12,220.0,5,High Value Customer,31818745.053736106,524.8744898897567
C3672,T0031,1,1,4836.425566622211,537.380618513579,9,199.0,6,High Value Customer,31818745.053736106,524.8744898897567
C1844,T0033,1,1,3381.9348389460697,483.1335484208671,7,417.0,4,High Value Customer,31818745.053736106,524.8744898897567
C1406,T0034,0,1,4301.550059278633,537.6937574098291,8,342.0,3,High Value Customer,31818745.053736106,524.8744898897567
C2579,T0035,1,1,10048.384493371645,528.8623417564023,19,452.0,4,High Value Customer,31818745.053736106,524.8744898897567
C292,T0036,1,1,5381.158018139201,538.1158018139201,10,585.0,6,High Value Customer,31818745.053736106,524.8744898897567
C2492,T0037,1,1,3517.9607961332786,586.3267993555464,6,,3,High Value Customer,31818745.053736106,524.8744898897567
C3393,T0045,1,1,6012.59471234786,501.04955936232165,12,278.0,4,High Value Customer,31818745.053736106,524.8744898897567
C2797,T0046,1,1,6695.029275043527,478.21637678882337,14,806.0,8,High Value Customer,31818745.053736106,524.8744898897567
C987,T0048,1,1,3922.412300393754,560.3446143419649,7,125.0,5,High Value Customer,31818745.053736106,524.8744898897567
C4480,T0050,1,1,3810.602411620132,346.4184010563756,11,34.0,5,High Value Customer,31818745.053736106,524.8744898897567
C591,T0051,0,1,4994.364801606587,554.9294224007319,9,278.0,7,High Value Customer,31818745.053736106,524.8744898897567
C4029,T0052,1,1,8152.7556486866615,543.5170432457775,15,774.0,5,High Value Customer,31818745.053736106,524.8744898897567
C1077,T0053,0,1,11469.18169159181,521.3264405269005,22,141.0,9,High Value Customer,31818745.053736106,524.8744898897567
C2474,T0055,0,1,6690.902448235804,557.5752040196503,12,68.0,6,High Value Customer,31818745.053736106,524.8744898897567
C4020,T0056,1,1,8658.566302471161,360.77359593629836,24,474.0,7,High Value Customer,31818745.053736106,524.8744898897567
C3286,T0058,0,1,5246.472196796967,476.9520178906334,11,709.0,6,High Value Customer,31818745.053736106,524.8744898897567
C2809,T0059,0,1,4724.282368825456,472.42823688254555,10,723.0,4,High Value Customer,31818745.053736106,524.8744898897567
C2809,T0060,1,1,4724.282368825456,472.42823688254555,10,723.0,4,High Value Customer,31818745.053736106,524.8744898897567
C3123,T0061,1,1,6818.123977329419,568.1769981107849,12,356.0,6,High Value Customer,31818745.053736106,524.8744898897567
C4884,T0065,0,1,4545.7872447306445,413.25338588460403,11,305.0,6,High Value Customer,31818745.053736106,524.8744898897567
C4996,T0066,0,1,6658.862995714769,554.9052496428974,12,1330.0,5,High Value Customer,31818745.053736106,524.8744898897567
C4424,T0068,1,1,9850.55758365717,656.703838910478,15,546.0,6,High Value Customer,31818745.053736106,524.8744898897567
C1757,T0069,1,1,10694.105974809929,594.1169986005516,18,26.0,7,High Value Customer,31818745.053736106,524.8744898897567
C4445,T0070,0,1,8184.6103686105425,545.6406912407028,15,227.0,6,High Value Customer,31818745.053736106,524.8744898897567
